f_id,slogan
4485,Her voice was his calling.
4488,Vous souhaiterez que ce ne soit qu'un horrible cauchemar…
4547,C'était censé être la pièce la plus sécurisée de la maison.
4587,Maman c'est beaucoup de choses... la normalité n'en fait pas partie.
4722,Imaginez ... que vous êtes parti et que quelqu'un d'autre vit à l'intérieur de votre corps.
4788,La dernière bataille entre le crime et la loi dans toutes les grandes villes du monde.
4909,"Sans nom, sans visage… se déplaçant sans relâche vers la mort."
4929,La pendaison était le meilleur spectacle en ville. Mais ils ont fait deux erreurs. Ils ont pendu le mauvais homme et n'ont pas terminé le travail.
4946,Le premier est sorti… le dernier est mort !
5121,"Désormais, l'aventure est sur les routes."
5143,Une histoire entre deux actions de Thanksgiving
5203,An adventure of the senses.
5228,Si vous avez l'appétit de vivre :
5503,Une épouse assassinée. Un manchot. Un flic tenace. La poursuite est lancée.
5548,"50% homme, 50% machine, 100% flic"
5549,Il est de retour pour protéger les innocents.
5902,Out of the sky comes the screen's most incredible spectacle of men and war!
5919,Le plus grand building au monde est en feu. Vous êtes au 135e étage. Aucun moyen de descendre. Aucun moyen de sortir.
5924,Papillon retrace le destin véridique de Henri Charrière
5925,Mettez une clôture devant ces hommes… et ils l'escaladeront !
5968,He's head over heels and headed straight for trouble!
5971,Escaped convicts disguised as priests. It'll take a miracle to get away with this one.
6028,"Mirror, mirror on the wall, who is the murderer among them all?"
6068,"Après une semaine au paradis, ils auront besoin de vacances."
6069,Trois belles femmes. Un diable chanceux.
6075,On n'échappe pas à son passé.
6114,L’amour est éternel
6217,Ils sont quelque chose de plus que des amants qui sont sur le point de devenir quelque chose de moins qu'humain.
6279,Elle revient vous convertir !
6341,Il est là…
6399,Jamais une chasse au trésor n’aura été aussi amusante !
6404,Nosferatu...he who is doomed to wander alone in darkness. Nosferatu...he who is condemned to destroy even those whom he loves. Nosferatu...a tale of seduction in the dark night of the soul.
6471,A rags to riches to rags story.
6474,La vengeance de Navajo cingle ... brûle ... ravage l'écran!
6488,"Huit pattes, deux crochets et un très mauvais caractère."
6520,Son courage et sa loyauté étaient légendaires. L'amour sera sa plus grande épreuve.
6620,...the chauffeur's daughter who learned her stuff in Paris
6644,C'est le grand avec les deux grands !
6950,Cet animal est porteur d'un virus mortel... le plus grand fléau de l'histoire s'annonce.
6978,Certaines personnes choisissent les pires endroits pour commencer un combat !
7007,"Un choc entre l'Est et l'Ouest. Une bataille entre la tradition et le pouvoir. Les affaires, c'est la guerre."
7091,Séduction. Romance. Meurtre. Les choses que l'on fait par amour.
7219,Nous allons vous manger!
7227,"Le vol 23 s'est écrasé dans le triangle des Bermudes... des passagers toujours en vie, piégés sous l'eau..."
7326,Enceinte ! Et alors ?
7340,S'ils avaient su…
7452,Luxure... Meurtre... Dessert. Bon appétit !
7520,"Quand il verse, il règne."
8007,Sa seule arme : sa volonté de survivre !
8009,Il ne peut en rester qu'un.
8011,A travers les siècles il ne peut en rester qu'un.
8012,Stars et truands
8068,La météo n'est pas bonne du côté d'Acuna...
8069,Qui peut sauver l'univers ?
8073,"A Who-Dunit, Who's Got-It, Where-Is-It-Now Wild One From That ""Breathless"" director Jean-Luc Godard!"
8077,Il est là !
8078,Il est déjà trop tard.
8130,Une vie si scandaleuse qu'il faut deux femmes pour l'assumer !
8217,A younger man and a bolder woman
8337,You see them on the street. You watch them on TV. You think they're people just like you. You're wrong. Dead wrong.
