id2,site_id,identifiant
3591,1,3591
3604,1,3604
3870,1,3870
3934,1,3934
3980,2,tt0090887
3980,1,3980
4011,1,4011
4032,2,tt0102492
4032,1,4032
4034,2,tt0058203
4034,1,4034
4043,1,4043
4104,1,4104
4105,1,4105
4180,1,4180
4192,1,4192
4193,1,4193
4202,1,4202
4203,1,4203
4228,1,4228
4235,1,4235
4271,1,4271
4271,2,tt0096386
4274,1,4274
4274,2,tt0087284
4327,1,4327
4327,2,tt0160127
4437,1,4437
4476,1,4476
4477,1,4477
4477,2,tt0118972
4478,1,4478
4480,2,tt0091288
4480,5,Q1315577
4480,1,4480
4481,2,tt0091480
4481,5,Q603092
4481,1,4481
4482,1,4482
4483,1,4483
4484,1,4484
4484,2,tt0077288
4485,1,4485
4488,1,4488
4546,1,4546
4547,2,tt0258000
4547,1,4547
4580,1,4580
4584,1,4584
4587,1,4587
4680,1,4680
4683,1,4683
4722,2,tt0106452
4722,1,4722
4727,1,4727
4728,1,4728
4729,1,4729
4730,2,tt0064746
4730,1,4730
4788,1,4788
4823,1,4823
4909,1,4909
4918,1,4918
4929,1,4929
4946,1,4946
4983,1,4983
4983,2,tt0066317
5121,1,5121
5143,1,5143
5144,2,tt0119623
5144,1,5144
5203,1,5203
5228,1,5228
5503,1,5503
5548,1,5548
5548,2,tt0093870
5549,1,5549
5602,1,5602
5602,2,tt0071449
5902,1,5902
5919,1,5919
5919,2,tt0072308
5923,2,tt0060934
5923,1,5923
5923,5,Q916287
5924,1,5924
5925,1,5925
5968,1,5968
5971,1,5971
6028,1,6028
6037,2,tt0074937
6037,5,Q288098
6037,1,6037
6068,1,6068
6068,2,tt0120828
6069,1,6069
6071,1,6071
6075,1,6075
6081,2,tt0078163
6081,5,Q1142181
6081,1,6081
6114,1,6114
6217,1,6217
6279,1,6279
6312,2,tt0237534
6312,1,6312
6312,5,Q1123891
6320,1,6320
6320,2,tt0089821
6341,2,tt0085255
6341,1,6341
6399,1,6399
6404,1,6404
6444,2,tt0100747
6444,1,6444
6471,1,6471
6474,2,tt0061587
6474,1,6474
6476,1,6476
6488,2,tt0099052
6488,1,6488
6520,1,6520
6538,1,6538
6538,5,Q273568
6538,2,tt0472062
6620,1,6620
6644,1,6644
6916,1,6916
6917,2,tt0093075
6917,5,Q2735120
6917,1,6917
6950,1,6950
6964,1,6964
6964,2,tt0337741
6964,5,Q584766
6977,5,Q183081
6977,2,tt0477348
6977,1,6977
6978,2,tt0090728
6978,1,6978
7007,1,7007
7007,2,tt0107969
7091,1,7091
7219,1,7219
7227,1,7227
7234,1,7234
7234,2,tt0090333
7326,1,7326
7326,5,Q79503
7326,2,tt0467406
7340,1,7340
7452,1,7452
7459,5,Q312078
7459,2,tt0811080
7459,1,7459
7520,1,7520
8005,1,8005
8007,5,Q723659
8007,2,tt0159273
8007,1,8007
8009,1,8009
8009,2,tt0091203
8011,1,8011
8012,1,8012
8047,1,8047
8068,1,8068
8069,1,8069
8073,1,8073
8075,1,8075
8077,1,8077
8078,1,8078
8130,1,8130
8217,1,8217
8271,1,8271
8271,2,tt0486822
8290,1,8290
8337,1,8337
8348,1,8348
8358,2,tt0162222
8358,5,Q213411
8358,1,8358
8367,1,8367
8398,1,8398
8398,2,tt0455960
8398,5,Q1321814
8428,1,8428
8446,1,8446
8467,1,8467
8469,5,Q960125
8469,2,tt0077975
8469,1,8469
8491,1,8491
8512,1,8512
8536,1,8536
8592,1,8592
8665,1,8665
8690,1,8690
8690,2,tt0081112
8692,1,8692
8736,2,tt0456123
8736,1,8736
8764,1,8764
8810,2,tt0082694
8810,1,8810
8831,1,8831
8833,1,8833
8839,1,8839
8844,1,8844
8845,1,8845
8851,1,8851
8852,1,8852
8856,1,8856
8867,1,8867
8872,1,8872
8963,1,8963
8984,1,8984
8986,1,8986
8987,1,8987
9037,1,9037
9040,1,9040
9041,1,9041
9048,2,tt0102932
9048,1,9048
9050,1,9050
9050,5,Q300357
9050,2,tt0100625
9051,1,9051
9056,1,9056
9056,2,tt0089374
9056,5,Q594033
9059,1,9059
9061,1,9061
9064,1,9064
9079,1,9079
9080,1,9080
9086,1,9086
9087,1,9087
9087,2,tt0112346
9087,5,Q429311
9089,1,9089
9090,1,9090
9102,1,9102
9102,5,Q555995
9102,2,tt0114367
9208,2,tt0115759
9208,5,Q392915
9208,1,9208
9263,1,9263
9264,1,9264
9271,1,9271
9272,1,9272
9273,1,9273
