film_id,titre,titre_original,annee,sortie,duree,franchise_id,pays
578,Les dents de la mer,Jaws,1976,1976-01-01,124,2366,{us}
579,"Les Dents de la mer, 2e partie",Jaws 2,1978,1978-06-16,116,2366,{us}
580,Les Dents de la mer 4 : La Revanche,Jaws: The Revenge,1987,1987-07-17,89,2366,{us}
581,Danse avec les loups,Dances with Wolves,1990,1990-03-30,233,,"{gb,us}"
590,The Hours,The Hours,2002,2002-12-27,114,,"{gb,us}"
591,Da Vinci Code,The Da Vinci Code,2006,2006-05-17,149,115776,{us}
592,Conversation secrète,The Conversation,1974,1974-04-07,113,,{us}
595,Du silence et des ombres,To Kill a Mockingbird,1962,1962-12-20,129,,{us}
599,Boulevard du crépuscule,Sunset Boulevard,1950,1950-08-10,110,,{us}
600,Full Metal Jacket,,1987,1987-10-21,116,,"{gb,us}"
601,E.T. l'extra-terrestre,E.T. the Extra-Terrestrial,1982,1982-12-01,115,,{us}
603,Matrix,The Matrix,1999,1999-03-31,135,2344,{us}
604,Matrix Reloaded,The Matrix Reloaded,2003,2003-05-15,138,2344,{us}
605,Matrix Revolutions,The Matrix Revolutions,2003,2003-11-05,128,2344,{us}
606,Out of Africa,,1985,1985-12-20,161,,{us}
609,Poltergeist : La Vengeance des fantômes,Poltergeist,1982,1982-10-20,114,10453,{us}
616,Le Dernier Samouraï,The Last Samurai,2003,2003-12-05,154,,"{nz,us}"
619,Bodyguard,The Bodyguard,1992,1992-11-25,129,,{us}
620,SOS Fantômes,Ghostbusters,1984,1984-12-12,110,2980,{us}
621,Grease,,1978,1978-07-07,110,86083,"{gb,us}"
622,La Neuvième porte,The Ninth Gate,1999,1999-08-25,132,,"{es,fr}"
623,Un poisson nommé Wanda,A Fish Called Wanda,1989,1989-01-18,108,,"{gb,us}"
624,Easy Rider,,1969,1969-06-26,90,956687,{us}
625,La Déchirure,The Killing Fields,1984,1984-11-23,141,,{gb}
628,Entretien avec un vampire,Interview with the Vampire,1994,1994-12-21,123,217704,{us}
634,Le Journal de Bridget Jones,Bridget Jones's Diary,2001,2001-04-13,97,8936,"{fr,ie,gb,us}"
635,Angel Heart,,1987,1987-03-06,115,,"{ca,gb,us}"
637,La vie est belle,La vita è bella,1997,1997-12-20,117,,{it}
639,Quand Harry rencontre Sally...,When Harry Met Sally...,1989,1989-11-15,96,,{us}
642,Butch Cassidy et le Kid,Butch Cassidy and the Sundance Kid,1969,1969-01-15,110,625812,{us}
644,A.I. : Intelligence artificielle,A.I. Artificial Intelligence,2001,2001-06-29,145,,{us}
646,James Bond 007 contre Dr. No,Dr. No,1962,1962-10-07,105,645,"{gb,us}"
650,Boyz n the Hood : La loi de la rue,Boyz n the Hood,1991,1991-07-12,112,,{us}
651,M*A*S*H,,1970,1970-02-18,116,,{us}
652,Troie,Troy,2004,2004-05-13,196,,"{us,mt,gb}"
657,Bons baisers de Russie,From Russia with Love,1963,1963-10-10,115,645,"{gb,us}"
658,Goldfinger,Goldfinger,1964,1964-09-20,105,645,"{gb,us}"
660,Opération Tonnerre,Thunderball,1965,1965-12-11,120,645,{gb}
664,Twister,Twister,1996,1996-05-10,113,1062948,{us}
667,On ne vit que deux fois,You Only Live Twice,1967,1967-06-13,117,645,"{jp,gb,us}"
671,Harry Potter à l'école des sorciers,Harry Potter and the Philosopher's Stone,2001,2001-11-16,153,1241,"{gb,us}"
672,Harry Potter et la Chambre des secrets,Harry Potter and the Chamber of Secrets,2002,2002-11-13,161,1241,"{gb,us}"
673,Harry Potter et le Prisonnier d'Azkaban,Harry Potter and the Prisoner of Azkaban,2004,2004-05-31,142,1241,"{gb,us}"
674,Harry Potter et la Coupe de feu,Harry Potter and the Goblet of Fire,2005,2005-11-16,157,1241,"{gb,us}"
675,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,2007,2007-07-08,138,1241,"{gb,us}"
679,Aliens - Le retour,Aliens,1986,1986-10-08,137,8091,{us}
680,Pulp Fiction,,1994,1994-09-10,154,,{us}
681,Les diamants sont éternels,Diamonds Are Forever,1971,1971-12-14,120,645,"{gb,us}"
682,L'Homme au pistolet d'or,The Man with the Golden Gun,1974,1974-12-01,125,645,"{gb,us}"
686,Contact,Contact,1997,1997-07-11,153,,{us}
687,La Dernière Marche,Dead Man Walking,1995,1995-12-29,122,,"{us,gb}"
688,Sur la route de Madison,The Bridges of Madison County,1995,1995-06-02,135,,{us}
691,L'Espion qui m'aimait,The Spy Who Loved Me,1977,1977-07-07,126,645,"{gb,us}"
694,Shining,The Shining,1980,1980-05-23,119,530064,"{gb,us}"
695,Short Cuts,,1993,1993-09-05,188,,{us}
696,Manhattan,,1979,1979-04-25,96,,{us}
698,Moonraker,Moonraker,1979,1979-06-26,130,645,"{fr,gb,us}"
699,Rien que pour vos yeux,For Your Eyes Only,1981,1981-06-24,128,645,"{gb,us}"
700,Octopussy,Octopussy,1983,1983-06-05,131,645,{gb}
707,Dangereusement vôtre,A View to a Kill,1985,1985-05-24,131,645,"{gb,us}"
712,Quatre mariages et un enterrement,Four Weddings and a Funeral,1994,1994-03-09,117,,"{gb,us}"
744,Top Gun,,1986,1986-09-17,109,531330,{us}
745,Sixième sens,The Sixth Sense,1999,1999-08-06,107,,{us}
746,Le Dernier Empereur,The Last Emperor,1987,1987-10-04,156,,"{cn,fr,it,gb}"
752,V pour Vendetta,V for Vendetta,2006,2006-02-23,132,,"{de,gb,us}"
754,Volte/Face,Face/Off,1997,1997-06-27,139,,{us}
760,Les Aventures de Rabbi Jacob,,1973,1973-10-17,100,,"{fr,it}"
761,L'Aile ou la Cuisse,,1976,1976-10-27,104,,{fr}
764,Evil Dead,The Evil Dead,1983,1983-08-24,85,1960,{us}
767,Harry Potter et le Prince de sang-mêlé,Harry Potter and the Half-Blood Prince,2009,2009-07-15,153,1241,"{gb,us}"
769,Les Affranchis,GoodFellas,1990,1990-09-12,141,,{us}
771,"Maman, j'ai raté l'avion !",Home Alone,1990,1990-11-16,103,9888,{us}
772,"Maman, j’ai encore raté l’avion !",Home Alone 2: Lost in New York,1992,1992-11-19,119,9888,{us}
773,Little Miss Sunshine,Little Miss Sunshine,2006,2006-07-26,102,,{us}
782,Bienvenue à Gattaca,Gattaca,1997,1997-09-07,106,,{us}
786,Presque Célèbre,Almost Famous,2000,2000-09-15,161,,{us}
788,Madame Doubtfire,Mrs. Doubtfire,1993,1993-11-24,125,,{us}
