id,site_id,identifiant
8ca8fd66-25e2-40d4-8167-42f8106e7fcd,5,Q200405
e00fb48f-4997-4f42-a2e7-62ae9db54a27,2,nm0705356
f83b5489-8fe1-4a0d-854c-176d18455020,5,Q873
5112364b-de0a-4c45-a311-eb80b86e1d05,1,13687
cf13b736-49c6-40fd-8484-49732ddb9b09,5,Q230605
3b9eba88-84f3-40ff-a8d9-63a001ff8f04,5,Q727988
3564eaab-c677-4e9a-9430-4b7160ecb83f,1,6886
3564eaab-c677-4e9a-9430-4b7160ecb83f,5,Q184103
97c13ae1-ffa5-4bbd-9c5a-53bed33ac452,1,11214
ee7f1acd-faa2-4066-8b4a-b4590fffcfd8,5,Q3440076
6015823e-ec82-4f77-8554-5af31a7fbb5a,1,19116
55e9a258-648d-4e3f-b464-80d00bb63401,1,1278162
b15bb7c5-f6d0-48eb-9a1e-703530203340,1,8874
dee592c1-a8fd-4dab-bc77-7991e42591a6,1,10431
aa1551f5-dc8f-459c-8789-e030badce2c7,1,6355
f8ebdca1-5aa5-404d-90bf-099bb213965c,5,Q4573
42730da3-7ba6-429b-ade8-f9d0287931d8,1,23880
6c521eab-6201-4636-a702-ebaa9ce48f0b,5,Q504461
6d9b26e6-e668-441b-80bc-36f1b8cb0e2d,1,27991
6c4c5d89-aa5b-4f8b-a107-280fc99d3c9a,5,Q255070
24606353-046f-4249-b9ea-0017d917189b,1,10993
bd7e7669-0007-4cb5-9218-b72163039cf5,2,nm0000215
0a943e06-2e38-464b-940b-0fc493200fd5,5,Q312077
1f91c00f-066d-470d-a2c7-fc5d8586b728,1,4517
1a0004f1-0327-4c7a-9b3d-a574ffc0998b,1,1241
6514c6fb-b221-4485-b409-82cafa2c1706,5,Q722733
dadc6be7-5e52-4b08-ade2-503c4beea5ca,5,Q37459
765d7669-6324-4204-b8c6-f4da50fefd51,1,25958
2860ab6b-e98d-4c47-80be-bc2a536ff671,1,589
9f72b128-e7cb-4ee1-9f4f-801e655b430a,5,Q336282
d5959d90-b110-4a94-a07b-f126a5c1a1c5,2,nm0126875
fa0078ef-fe0c-46ea-ad84-d5b527494f74,5,Q101797
82d638a4-8899-4917-ab72-07e0ff751538,5,Q181678
4609a4af-ff7d-4559-9e7c-5a166c74fab0,1,6065
d8c27e8c-63ce-4c37-a786-f04c00915082,5,Q16473
26d5a442-e06c-426f-bbdf-45687da520fa,5,Q172678
95da3c96-b306-4694-aa63-678d865edbf5,5,Q41548
55a018ac-eea4-42f9-92b2-671d376bea5d,1,28768
8337175e-8fb7-4122-8be3-b20c68e778cb,1,6161
f2200d2d-ea3b-426c-bc26-6f22317df9e5,1,2878
55dfbb9a-bef3-410e-b7a2-6c78b1f5200a,1,8558
26b8f537-0d34-4654-884d-45991b25f862,1,2710
594436cf-1f7a-4a96-8f41-53792e1d10df,1,7904
