f_id,s_id
20242,14
20287,6
20287,21
20416,5
20481,15
20701,4
21219,8
21309,1
21332,5
21352,4
21629,5
21666,8
21779,5
21873,15
21874,7
22160,5
22240,25
23330,7
24099,15
24229,8
24248,5
24583,25
24679,7
24742,19
24750,7
24750,19
24795,10
24803,5
24873,16
24873,24
24951,19
25095,4
25188,5
25528,24
25553,1
25562,4
25566,4
25678,16
25678,24
25682,24
25684,24
25943,4
26178,7
26185,7
26263,16
26263,24
26325,1
26337,19
26355,6
26515,9
26522,5
26672,12
26789,6
26978,5
27214,19
27352,16
27352,24
27381,7
27418,7
27679,8
27769,1
27793,7
27793,12
27958,9
28176,2
28313,4
28368,6
28569,7
28597,3
28597,8
28761,7
28881,6
29005,7
29154,7
29355,7
30890,19
30943,5
31052,7
31121,5
31283,4
31357,15
31503,14
31583,1
31586,5
31606,19
31608,14
31638,7
31646,5
31962,15
32037,20
32059,1
32060,8
32261,12
32489,8
32940,7
33258,2
33258,8
33278,7
33521,8
34193,15
34584,7
34636,7
34723,10
35119,7
35119,16
35119,24
35552,25
35645,8
36351,21
36593,4
36670,7
36685,15
36914,3
36914,6
36955,15
37094,7
37136,4
37137,4
37165,4
37233,4
37296,7
37308,15
37652,25
37749,4
38152,9
38557,8
38558,8
38985,4
38985,8
39176,7
39176,19
40057,25
40490,10
40820,5
40973,15
41003,8
41857,15
42121,8
42149,7
42149,19
42264,9
42473,9
42703,9
42791,1
44617,25
44706,25
44772,5
44826,4
45225,5
46878,7
47045,5
48457,24
48769,22
49051,1
49051,7
49849,3
49849,8
49849,11
50012,16
50012,24
50627,5
51191,17
51191,25
51196,25
51257,22
51861,25
52657,16
52657,24
52744,4
54471,17
54471,25
55976,22
57158,1
57158,7
57944,25
59455,25
60670,25
60744,25
60797,25
61225,8
62087,17
62134,25
62204,15
62822,25
63481,22
63657,22
68864,17
69044,22
70981,15
71630,22
72449,1
73057,25
74080,17
76128,25
76597,25
78032,25
78409,22
78830,22
79756,25
81122,17
83105,15
93289,17
116215,20
122917,1
122917,7
126889,15
133805,1
138659,25
139874,25
164126,25
222054,2
242248,25
250634,25
283366,15
299687,5
315837,4
315837,11
335984,5
338730,1
399579,15
427910,19
571940,25
1112679,8
