personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
e44e8d89-5845-4048-acfd-cee0d7f054a1,Biehn,Michael,1956-07-31,,us,,28.236
edffc687-a2d7-464c-9210-21eb3f76363a,Sandweiss,Ellen,1958-12-30,,us,,9.244
0aad4cbf-f619-4c1f-8bc4-b64de594ffa6,Jennifer,Beals,1963-12-19,,us,,34.464
7f61045e-1fdf-493f-bb9a-ddde285488e8,Ward,Sophy,1964-12-30,,gb,,11.514
10abd4fe-3501-4e66-9404-642affce8f8e,Norris,Chuck,1940-03-10,,us,,39.845
46c31ee2-f27f-4049-95d4-e3bf625ec924,Nielsen,Brigitte,1963-07-15,,dk,,27.177
03eaa5ea-ad8e-4342-b2f5-8d26ec0bbe46,Zito,Joseph,1946-05-14,,us,,8.77
38d69333-f86e-4e30-b3f8-04e349ade801,Fleischer,Richard,1916-12-08,2006-03-25,us,,4.826
8c077f12-c8cc-4902-9797-17e29fb22bd8,Baker,Betsy,1955-05-08,,us,,19.739
b7770571-dac0-4ce4-a95a-25c37342d642,James,Steve,1952-02-19,1993-12-18,us,,10.155
705e5be2-7781-4305-ae6e-d088a2cbcd0b,Broderick,Matthew,1962-03-21,,us,,62.574
30e140ad-88c1-47d0-84e2-3a70d8398692,Lambert,Christophe,1957-03-29,,fr,,22.127
450c6276-60bc-4791-bee4-3152145af6e7,Schwarzenegger,Arnold,1947-07-30,,at,,52.273
38e1ba01-163a-4262-9ce3-a8b95ea6e687,Kotcheff,Ted,1931-04-07,,ca,,15.671
8add261c-9aff-44f2-9aa1-63a3f33eac8d,Grey,Jennifer,1960-03-26,,us,,16.104
a5b4eea4-8970-4943-ad3a-0e01830f489e,Gansbacher,Margit,1940-03-10,,it,Margie Newton,39.845
0a510c9f-22aa-4794-982c-ae8b02385f1a,Tornade,Pierre,1930-01-21,2012-03-07,,,5.831
413b9f05-c6c9-446b-b5eb-b335db3b56ae,McCallany,Holt,1963-09-03,,,,62.35
488a70e2-a0a0-4334-a749-3114261be8eb,Yuen,Corey,1951-12-16,,,,0
033fc60a-b332-47ee-a444-02f43dcf200f,Alric,Catherine,1954-03-23,,,,5.726
5818b6a0-c862-4f00-8515-44f6b55fabc3,Mandoki,Luis,1954-01-01,,,,0
2ae8381b-fae1-462f-9520-128d3fb5e59e,Benton,Robert,1932-09-29,,,,0
48885a58-6cb1-468e-ae5c-de6036d76141,Newell,Mike,1942-03-28,,,,0
9ab8a25a-cf5b-4cac-a4f0-5a6097f35693,Hopper,Dennis,1936-05-17,2010-05-29,,,0
a29d67e0-fcf0-412d-bff2-5e95eb2704d1,Scott,Tony,1944-06-21,2012-08-19,gb,,42.188
8f55b03c-4c1d-4e1e-9c66-1d8ce00c75e6,Whiteley,Arkie,1964-11-06,2001-12-19,,,5.877
52285ff8-41e2-40e1-9c52-cec1ae4f016c,Winsor,Terry,,,,,0
5e8cbbd8-579d-475f-b6e9-7067206b0e63,Spottiswoode,Roger,1945-01-05,,,,0
974c11bb-ab89-4e17-8ddc-3d32ce4c88c3,Grier,Pam,1949-05-26,,,,42.308
30a4380a-6db0-4a15-a197-f40ca61ef08d,Ephron,Nora,1941-05-19,2012-06-26,,,0
dd5ce36f-edf2-4bcf-900c-81232a2d6683,Rumilly,France,1939-05-01,,fr,,7.197
1f77193b-bf04-41aa-930d-ab47729966fa,Duc,Hélène,1917-03-22,2014-11-23,,,7.505
6745d0af-ed89-4f96-8e68-045342169e6c,Lumet,Sidney,1924-06-25,2011-04-09,,,0
8fca5f91-933e-4128-acc3-49184b1c431a,Jamin,Pierre,,,,,0
a64d8714-122f-4e5d-a4a6-70bafef88406,Steve,Savage,1958-04-29,,,,0
7c1749d3-a3d1-4aed-816d-8365471ff352,Irvin,John,1940-05-07,,,,0
e5bae18d-449e-4101-acca-56bc65c4a3d9,Englund,Robert,1947-06-06,,us,,35.632
6c4c3135-8015-4eef-89a5-93607865b570,Foerster,Anna,1971-01-01,,,,0
8b73a38c-8a97-498d-a6c7-03bddc910aed,Li,Jet,1963-04-26,,,,48.442
944f4813-ffdc-428c-8978-b41a7103549d,Lester,Richard,1932-01-19,,,,0
cb410363-8ad9-4001-96b1-6ae65187e8ae,Dear,William,1944-11-30,,,,0
0f260cbd-ff6c-4758-9254-7c765191c7a8,Zwick,Edward,1952-10-08,,,,0
f1054467-f311-4d14-957f-d8f6c7360944,Landis,John,1950-08-03,,,,0
3657529d-a8e2-47e2-8f9c-914b827bc43f,Harrison,John,1948-01-01,,,,0
8e7b80a8-0352-4662-9255-253c748852e3,Cruise,Tom,1962-07-03,,us,,51.109
f7e5b7fc-3b3f-4d7d-b4f4-e1d6d884db09,Reitman,Jason,1977-10-19,,,,0
5adebd2d-9e97-4ab0-8396-1fa947028db6,Stern,Tom,1965-05-18,,,,0
7c4af3f3-11e4-4b7c-be85-e6b228ffe437,McConaughey,Matthew,1969-11-04,,,,67.811
af60ce45-cf77-4444-b3d9-6e064763e3cb,Adams,Amy,1974-08-20,,,,47.023
ea2fdfa4-1f78-47cb-9eae-416a6d8331f4,Zucker,Jerry,1950-03-11,,,,0
f2210162-01b4-4080-9251-7e73a57880c9,Lee,Ang,1954-10-23,,,,0
446c9413-f1e9-46fe-877e-dabbcbedb5b8,Curry,Tim,1946-04-19,,,,35.042
ccfe487d-b543-44f9-9420-25c3c3b99386,M.,Robert,1924-11-22,2024-02-06,,,0
93d6cc48-56d0-46fc-b0a1-4cd1c4469ab0,Béhat,Gilles,1949-09-03,,,,0
a16ee86c-3974-4d00-9a27-4e2e4bba5fe5,Morahan,Andrew,1958-07-25,,,,0
7734fb48-6a7f-45f5-8d01-d6e7aeb44f5d,Arnold,Newt,1922-02-22,2000-02-12,,,0
7a5e3a67-f970-49b8-834e-6d1f0214e098,Oedekerk,Steve,1961-11-27,,,,0
03ea0140-70b0-4503-b224-b2f0a8857bbf,Talalay,Rachel,1958-07-16,,,,0
9a4c055b-d92e-46ae-b854-e9c16fc01878,Peeples,Nia,1961-12-10,,,,24.704
23cd4edb-007f-4dd6-ba4f-9c876d5c424e,Glenn,Scott,1939-01-26,,,,61.45
1a0c5652-d9bb-4bdc-97b6-1f46557fb427,Muyl,Philippe,1953-05-30,,,,0
bd203b99-b5f0-417d-a0b9-53cfa922337a,Worth,David,1940-03-02,,,,0
4092b66b-2413-4d9d-8e57-00ee851291af,Guest,Val,1911-12-11,2006-05-10,,,0
147af91f-c916-48c6-a7af-be793a9c9fe0,Smight,Jack,1925-03-09,2003-09-01,,,0
901f8bf3-7390-4805-aeb7-1e925b89f722,Edel,Uli,1947-04-11,,,,0
7f508fc2-1651-490d-904c-cc6d5c851158,Karson,Eric,,,,,0
849b0e53-e78b-48fd-8ace-f1f26a183182,Hedebrant,Kåre,1995-06-28,,sw,,4.507
5a51e7bb-adde-40dd-83ec-b74b2129ded4,Duke,Patty,1946-12-14,2016-03-29,,,12.426
