film_id,motcle_id
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,2534
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,4123
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,3312
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,4933
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,4410
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,13015
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,162365
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,198423
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,217133
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,221092
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,226740
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,226741
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,226742
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,227612
fc6651a7-fb08-4717-a0d1-00fba5aef294,2041
fc6651a7-fb08-4717-a0d1-00fba5aef294,818
fc6651a7-fb08-4717-a0d1-00fba5aef294,339
fc6651a7-fb08-4717-a0d1-00fba5aef294,12616
fc6651a7-fb08-4717-a0d1-00fba5aef294,14728
fc6651a7-fb08-4717-a0d1-00fba5aef294,204975
fc6651a7-fb08-4717-a0d1-00fba5aef294,207883
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,818
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,339
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,5299
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,1913
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,1915
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,1956
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,4263
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,12993
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,15111
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,41599
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,155499
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,180178
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,195862
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,226475
8a34feea-3da8-4bfa-9c60-6f5b90c8a1bc,230436
cc64300c-8140-44cf-b1dc-b1fb5b4dd4fa,3133
cc64300c-8140-44cf-b1dc-b1fb5b4dd4fa,41523
dd088fb8-410c-4f17-88c3-ded1643ef75e,779
dd088fb8-410c-4f17-88c3-ded1643ef75e,801
dd088fb8-410c-4f17-88c3-ded1643ef75e,4565
dd088fb8-410c-4f17-88c3-ded1643ef75e,2006
dd088fb8-410c-4f17-88c3-ded1643ef75e,9715
dd088fb8-410c-4f17-88c3-ded1643ef75e,12190
dd088fb8-410c-4f17-88c3-ded1643ef75e,13141
dd088fb8-410c-4f17-88c3-ded1643ef75e,239110
dd088fb8-410c-4f17-88c3-ded1643ef75e,245230
dd088fb8-410c-4f17-88c3-ded1643ef75e,248862
dd088fb8-410c-4f17-88c3-ded1643ef75e,286440
735e381f-a59a-4f6e-b428-2c06cac952cd,2337
735e381f-a59a-4f6e-b428-2c06cac952cd,1192
735e381f-a59a-4f6e-b428-2c06cac952cd,6152
735e381f-a59a-4f6e-b428-2c06cac952cd,6443
735e381f-a59a-4f6e-b428-2c06cac952cd,11264
735e381f-a59a-4f6e-b428-2c06cac952cd,156866
735e381f-a59a-4f6e-b428-2c06cac952cd,163080
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,2660
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,2157
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,490
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,679
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,4565
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,5340
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,11322
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,12190
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,13015
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,13141
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,34152
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,203286
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,222243
