pays_code,langue_code,officiel,pourcentage
SY,arb,1,90.0
SY,kur,0,9.0
TD,arb,1,12.3
TH,khm,0,1.3
TH,lao,0,26.9
TH,msa,0,3.6
TH,tha,1,52.6
TH,zho,0,12.1
TJ,rus,0,9.7
TJ,tgk,1,62.2
TJ,uzb,0,23.2
TM,kaz,0,2.0
TM,rus,0,6.7
TM,tuk,1,76.7
TM,uzb,0,9.2
TO,eng,1,0.0
TT,eng,0,93.5
TT,hin,0,3.4
TN,arb,1,69.9
TR,arb,0,1.4
TR,kur,0,10.6
TR,tur,1,87.6
TV,eng,1,0.0
TV,gil,0,7.5
TV,tvl,1,92.5
TZ,swa,1,8.8
UA,bel,0,0.3
UA,bul,0,0.3
UA,hun,0,0.3
UA,pol,0,0.1
UA,ron,0,0.7
UA,rus,0,32.9
UA,ukr,1,64.7
UY,spa,1,95.7
US,deu,0,0.7
US,eng,1,86.2
US,fra,0,0.7
US,ita,0,0.6
US,jpn,0,0.2
US,kor,0,0.3
US,pol,0,0.3
US,por,0,0.2
US,spa,0,7.5
US,vie,0,0.2
US,zho,0,0.6
UZ,kaz,0,3.8
UZ,rus,0,10.9
UZ,tat,0,1.8
UZ,tgk,0,4.4
UZ,uzb,1,72.6
VA,ita,1,0.0
VC,eng,1,0.0
VE,spa,1,96.9
VN,khm,0,1.4
VN,tha,0,1.6
VN,vie,1,86.8
VN,zho,0,1.4
VU,eng,1,28.3
VU,fra,1,14.2
WS,eng,1,0.6
YE,arb,1,99.6
ZA,afr,1,14.3
ZA,eng,1,8.5
ZA,xho,1,17.7
ZA,zul,1,22.7
ZW,eng,1,2.2
