code,num4217,nom,format,change,date,creation,disparition,division,minor
NOK,578,Couronne norvégienne,#,8.20600,,,,100 ore,
NPR,524,Roupie népalaise,#,93.59620,,,,,
NZD,554,Dollar néo-zélandais,#,1.80770,,,,100 cents,
OMR,512,Rial Omani,#,0.50115,,,,1000 baizas,
PAB,590,Balboa du Panama,#,1.30085,,,,100 centesimos,
PEN,604,Nouveau Sol péruvien,#,4.24012,,,,100 centavos,
PGK,598,Kina,#,3.97874,,,,,
PHP,608,Peso des Philippines,#,71.65730,,,,100 centavos,
PKR,586,Roupie pakistanaise,#,77.17940,,,,100 paisas,
PLN,985,Zloty polonais (nouveau),#,3.90980,,,,,
PLZ,,Zloty polonais,#,0.00000,,,,100 groszy,
PTE,620,Escudo portugais,#,200.48200,1998-12-31,,1998-12-31,100 centavos,
PYG,600,Guarani du Paraguay,#,8195.36000,,,,100 centimos,
QAR,634,Riyal du Qatar,#,4.73587,,,,100 dirhams,
ROL,642,Leu roumain,#,36443.00000,,,,100 bani,
RUB,643,Rouble russe,#,41.52630,2011-08-14,,,100 copecks,
RUR,,Rouble russe,#,0.00000,,,,,
RWF,646,Franc rwandais,#,722.97300,,,,,
SAR,682,Riyal dArabie Saoudite,#,5.31550,,,,100 halalas,
SBD,90,Dollar des Iles Salomon,#,9.63592,,,,,
SCR,690,Roupie seychelloise,#,7.04735,,,,,
SDD,736,Dinar soudanais,#,325.85000,,,,,
SEK,752,Couronne suédoise,#,9.06270,,,,100 ore,
SGD,702,Dollar de Singapour,#,2.13460,,,,100 cents,
SHP,654,Livre de Sainte-Hélène,#,0.00000,,,,,
SIT,705,Tolar slovène,#,239.73000,,,,100 haliers,
SKK,703,Couronne slovaque,#,37.85800,,,,100 haliers,
SLL,694,Leone,#,3129.85000,,,,,
SOS,706,Shilling somalien,#,19416.90000,,,,,
SPL,,Seborga,Luigini,#,0.00000,,,,,
SRG,968,Florin du Suriname (SRD),#,3403.26000,,,,,
STD,678,Dobra,#,11807.80000,,,,,
SVC,222,Colon du Salvador,₡#,###.##,11.38500,,,,,
SYP,760,livre syrienne,#,9.96300,,,,,
SZL,748,Lilangeni du Swaziland,#,7.80406,,,,100 cents,
THB,764,Baht thaïlandais,#,50.19330,,,,100 satang,
TJR,,Rouble tadjik,#,0.00000,,,,,
TJS,972,Somoni du Tadjikistan,#,4.00792,,,,,
TMM,795,Manat du Turkmenistan,#,6696.78000,,,,100 tenesi,
TND,788,Dinar tunisien,#,1.60616,,,,1000 millimes,
TOP,776,Paanga,#,2.53432,,,,,
TRL,792,Livre turque,#,1.68410,,,,100 kurus,
TTD,780,Dollar de Trinité-et-Tobago,#,8.15633,,,,,
TWD,901,Nouveau dollar de Taïwan,#,41.33000,,,,,
TZS,834,Shilling tanzanien,#,1431.59000,,,,,
UAH,980,Hryvnia ukrainien,#,6.91077,,,,100 kopiykas,
