"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
202,160,"9780060510855",2003-01-28,928,,eng,
203,2140,"9780060510862",2003-09-02,278,,eng,
204,803,"9780060511067",2003-04-15,64,,eng,
205,160,"9780060511104",2005-10-25,416,,eng,
206,803,"9780060511111",2005-01-18,64,,eng,
207,160,"9780060511135",2006-10-31,448,,eng,
208,803,"9780060511142",2004-06-29,64,,eng,
209,873,"9780060512187",2002-09-24,368,,eng,
210,160,"9780060512804",2002-11-01,1139,,eng,
211,885,"9780060513061",2002-10-07,176,,eng,
212,2204,"9780060515225",2006-09-26,360,,eng,
213,873,"9780060516055",2003-01-07,186,,eng,
214,160,"9780060517618",2003-11-25,384,,eng,
215,161,"9780060518516",2002-12-01,416,,eng,
216,877,"9780060518653",2004-02-17,321,,eng,
217,872,"9780060519131",2012-07-10,404,,en-US,
218,878,"9780060519568",2006-03-01,439,,eng,
219,645,"9780060519599",2007-02-06,384,,eng,
220,864,"9780060520595",2005-10-04,432,,eng,
221,803,"9780060521226",2003-04-15,90,,eng,
222,872,"9780060521998",2003-01-07,286,,eng,
223,160,"9780060524395",2006-07-25,416,,eng,
224,161,"9780060524937",2003-03-01,267,,eng,
225,161,"9780060524944",2004-01-01,304,,eng,
226,160,"9780060524951",2004-11-30,304,,eng,
227,900,"9780060525101",2003-06-03,320,,eng,
228,2210,"9780060525118",2005-12-27,345,,eng,
229,2210,"9780060525125",2006-11-28,344,,eng,
230,898,"9780060527983",2004-03-30,142,,en-US,
231,898,"9780060527990",2006-07-03,205,,eng,
232,877,"9780060528874",2003-06-03,352,,eng,
233,868,"9780060529574",2006-01-03,368,,en-US,
234,864,"9780060530488",2006-08-22,352,,eng,
235,882,"9780060530839",2003-11-04,112,,en-US,
236,907,"9780060534042",2003-09-30,436,,eng,
237,864,"9780060534059",2004-07-27,422,,eng,
238,1664,"9780060535032",2004-04-27,408,,eng,
239,877,"9780060535117",2003-07-08,464,,eng,
240,882,"9780060535261",2004-06-01,340,,eng,
241,1038,"9780060539092",2004-08-17,592,,eng,
242,607,"9780060539160",2006-04-25,496,,eng,
243,911,"9780060539252",2003-07-29,672,,en-US,
244,880,"9780060539825",2003-07-29,224,,eng,
245,2204,"9780060540906",2006-07-25,368,,eng,
246,875,"9780060540944",2004-01-01,650,,eng,
247,889,"9780060541439",2010-12-21,322,,eng,
248,161,"9780060541811",2003-10-28,327,,eng,
249,161,"9780060541835",2003-10-28,442,,eng,
250,909,"9780060541873",2006-07-25,210,,eng,
251,803,"9780060542382",2012-12-26,96,,eng,
252,882,"9780060543495",2005-10-18,192,,eng,
253,882,"9780060543525",2006-03-14,208,,eng,
254,2210,"9780060544881",2005-04-05,912,,eng,
255,864,"9780060545611",2006-02-28,784,,eng,
256,864,"9780060545628",2006-10-17,560,,eng,
257,864,"9780060545642",2003-05-27,199,,en-US,
258,873,"9780060545840",2006-02-21,384,,en-US,
259,882,"9780060546571",2005-01-18,240,,eng,
260,645,"9780060548285",2003-05-01,417,,eng,
261,1038,"9780060554736",2005-09-06,464,,en-US,
262,882,"9780060556501",2004-09-21,48,,eng,
263,880,"9780060556525",2003-10-21,416,,eng,
264,874,"9780060556570",2003-04-29,405,,eng,
265,82,"9780060557560",2006-08-29,399,,en-US,
266,2210,"9780060557812",2003-09-02,370,,eng,
267,2204,"9780060559144",2006-01-03,422,,eng,
268,160,"9780060561185",2006-11-28,384,,eng,
269,872,"9780060564421",2004-02-03,495,,eng,
270,2210,"9780060564780",2007-01-02,400,,en-US,
271,896,"9780060565084",2006-03-28,7,,eng,
272,896,"9780060565091",2006-06-13,3,,eng,
273,868,"9780060566104",2004-11-02,368,,eng,
274,864,"9780060566685",2004-06-15,321,,eng,
275,880,"9780060567231",2010-03-30,296,,eng,
276,877,"9780060570583",2004-04-13,336,,eng,
277,873,"9780060572006",2006-10-10,419,,eng,
