code,langue_code,officiel,pourcentage
ua,pol,0,0.1
ua,ron,0,0.7
ua,rus,0,32.9
ua,ukr,1,64.7
uy,spa,1,95.7
us,deu,0,0.7
us,eng,1,86.2
us,fra,0,0.7
us,ita,0,0.6
us,jpn,0,0.2
us,kor,0,0.3
us,pol,0,0.3
us,por,0,0.2
us,spa,0,7.5
us,vie,0,0.2
us,zho,0,0.6
uz,kaz,0,3.8
uz,rus,0,10.9
uz,tat,0,1.8
uz,tgk,0,4.4
uz,uzb,1,72.6
va,ita,1,0.0
vc,eng,1,0.0
ve,spa,1,96.9
vn,khm,0,1.4
vn,tha,0,1.6
vn,vie,1,86.8
vn,zho,0,1.4
vu,eng,1,28.3
vu,fra,1,14.2
ws,eng,1,0.6
ye,arb,1,99.6
za,afr,1,14.3
za,eng,1,8.5
za,xho,1,17.7
za,zul,1,22.7
zw,eng,1,2.2
