oeuvre_id,titre,langue_code,genre_id,infos
284,Sabriel (Abhorsen #1),en-US,,
285,Slouching Toward Nirvana,eng,,
286,Cat Cross Their Graves (Joe Grey),eng,,"{""tome"":""10""}"
287,Cat Breaking Free (Joe Grey),eng,,"{""tome"":""11""}"
288,Slider,en-US,,
289,Cookies: Bite-Size Life Lessons,eng,,
290,I Dreamed I Married Perry Mason (A Cece Caruso Mystery),eng,,"{""tome"":""1""}"
291,The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles,en-US,,
292,Matilda,eng,,
293,Like A Charm,en-US,,
294,Metro Girl (Alex Barnaby),eng,,"{""tome"":""1""}"
295,Motor Mouth (Alex Barnaby),eng,,"{""tome"":""2""}"
296,Her Master and Commander (Just Ask Reeves),eng,,"{""tome"":""1""}"
297,Mystic River,eng,,
298,The Way the Crow Flies,en-US,,
299,Great Short Works of Herman Melville,eng,,
300,Measle and the Dragodon,eng,,
301,The Day I Swapped My Dad for Two Goldfish,en-US,,
302,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus),eng,,"{""tome"":""1""}"
303,Ulysses S. Grant: The Unlikely Hero,eng,,
304,A Dirty Job (Grim Reaper #1),en-US,,
305,You Suck (A Love Story),eng,,"{""tome"":""2""}"
306,El reino del dragón de oro,spa,,
307,Quicksilver (The Baroque Cycle),eng,,"{""tome"":""1""}"
308,When We Meet Again (Effingtons),eng,,"{""tome"":""10""}"
309,Let It Be Love (Effingtons),eng,,"{""tome"":""11""}"
310,Every Book Its Reader: The Power of the Printed Word to Stir the World,eng,,
311,Flirting With Danger (Samantha Jellicoe),eng,,"{""tome"":""1""}"
312,Goat Girls (Weetzie Bat #2-3),en-US,,
313,Beautiful Boys (Weetzie Bat #4-5),en-US,,
314,Lost Horizon,eng,,
315,The Doors of Perception & Heaven and Hell,eng,,
316,Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers),eng,,"{""tome"":""1""}"
317,Abarat: Days of Magic  Nights of War,eng,,
318,Outposts: Journeys to the Surviving Relics of the British Empire,eng,,
319,Thanksgiving,eng,,
320,Manhunt,eng,,
321,Love Overboard,eng,,
322,Back to the Bedroom (Elsie Hawkins),eng,,"{""tome"":""1""}"
323,Smitten (Elsie Hawkins),eng,,"{""tome"":""2""}"
324,The Rocky Road to Romance (Elsie Hawkins),eng,,"{""tome"":""4""}"
325,Thomas Jefferson: Author of America,eng,,
326,Muhammad: A Prophet for Our Time,eng,,
327,Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,en-US,,
328,Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,en-US,,
329,Shadow of the Almighty: The Life and Testament of Jim Elliot,eng,,
330,The Dance of the Dissident Daughter,eng,,
331,Readings for Meditation and Reflection,eng,,
332,The Screwtape Letters,eng,,
333,Mere Christianity,eng,,
334,Embracing the Love of God: The Path and Promise of Christian Life,eng,,
335,The Rise of Christianity,eng,,
336,The Falls,eng,,
337,Mutant Message Down Under,eng,,
338,Crooked Little Vein,en-US,,
339,The Collected Poetry  1968-1998,eng,,
340,Ready or Not (All-American Girl),eng,,"{""tome"":""2""}"
341,A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,eng,,
342,Darkest Hour (The Mediator),eng,,"{""tome"":""4""}"
343,Great Short Works of Fyodor Dostoevsky,eng,,
344,Cash,eng,,
345,The Collected Letters of C.S. Lewis  Volume 1: Family Letters  1905-1931,eng,,
346,Touching the Void: The True Story of One Man's Miraculous Survival,eng,,
347,Buddhism: A Concise Introduction,eng,,
348,The Burglar Who Liked to Quote Kipling (Bernie Rhodenbarr),eng,,"{""tome"":""3""}"
349,Anybody Out There? (Walsh Family),eng,,"{""tome"":""4""}"
350,The Burglar Who Painted Like Mondrian (Bernie Rhodenbarr),eng,,"{""tome"":""5""}"
351,The Burglar Who Traded Ted Williams (Bernie Rhodenbarr),eng,,"{""tome"":""6""}"
352,Dogged Pursuit (Jack and Jamie),eng,,"{""tome"":""5""}"
353,Ariel: The Restored Edition,eng,,
354,The Neil Gaiman Audio Collection,eng,,
355,The Zebra Wall,eng,,
356,The Confusion (The Baroque Cycle #2),en-US,,
357,Bridge to Terabithia,en-US,,
358,After the Wreck  I Picked Myself Up  Spread My Wings  and Flew Away,eng,,
359,Bloodsucking Fiends (A Love Story),eng,,"{""tome"":""1""}"
360,Practical Demonkeeping (Pine Cove),eng,,"{""tome"":""1""}"
361,Island of the Sequined Love Nun,eng,,
362,The Lust Lizard of Melancholy Cove (Pine Cove #2),en-US,,
363,Weetzie Bat (Weetzie Bat),eng,,"{""tome"":""1""}"
364,Love Overboard,eng,,
365,Behind the Curtain (Echo Falls #2),en-US,,
366,The Rocky Road to Romance (Elsie Hawkins),eng,,"{""tome"":""4""}"
367,Catherine  Called Birdy,eng,,
368,The Last Innocent Man,eng,,
369,One Hundred Years of Solitude,eng,,
370,The Dance of Anger,eng,,
371,Alas  Babylon,eng,,
372,Lilly's Big Day,en-US,,
373,The Pursuit of Happyness,eng,,
374,Wicked: The Life and Times of the Wicked Witch of the West,en-US,,
375,Crimes Against Nature: How George W. Bush and His Corporate Pals Are Plundering the Country and Hijacking Our Democracy,eng,,
376,Son of a Witch (The Wicked Years),eng,,"{""tome"":""2""}"
377,Conrad's Fate (Chrestomanci),eng,,"{""tome"":""5""}"
378,This Rough Magic,eng,,
379,Airs Above the Ground,eng,,
380,When Nietzsche Wept,eng,,
381,The Known World,eng,,
382,One Hundred Years of Solitude,eng,,
383,Battle Cry,eng,,
384,Beauty,eng,,
385,Mating in Captivity: Reconciling the Erotic and the Domestic,eng,,
386,Forgotten New York: Views of a Lost Metropolis,eng,,
387,Selected Writings,eng,,
388,Letters of E.B. White,eng,,
389,La telaraña de Carlota,spa,,
390,Forest Mage (Soldier Son),eng,,"{""tome"":""2""}"
391,The Dead Beat: Lost Souls  Lucky Stiffs  and the Perverse Pleasures of Obituaries,en-US,,
392,The Last Kingdom (The Saxon Stories),eng,,"{""tome"":""1""}"
393,Charms for the Easy Life,eng,,
394,A Couple of April Fools (The Hamlet Chronicles),eng,,"{""tome"":""6""}"
395,Michael Tolliver Lives (Tales of the City #7),en-US,,
396,What Christians Believe,en-US,,
397,The Known World,en-US,,
398,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,eng,,
399,Psyche in a Dress,eng,,
400,You: The Owner's Manual: An Insider's Guide to the Body That Will Make You Healthier and Younger,en-US,,
401,The Catswold Portal,eng,,
402,The Chronicles of Narnia (The Chronicles of Narnia #1-7),eng,,
403,The Lion  the Witch and the Wardrobe (Chronicles of Narnia),eng,,"{""tome"":""2""}"
404,The Nightmare Room: The Nightmare Begins! (The Nightmare Room),en-US,,"{""tome"":""1-3""}"
405,A Quick Bite (Argeneau),eng,,"{""tome"":""1""}"
406,A Bite to Remember (Argeneau),eng,,"{""tome"":""5""}"
407,Bite Me If You Can (Argeneau),eng,,"{""tome"":""6""}"
408,Goodnight Moon,eng,,
409,Brave New World / Brave New World Revisited,eng,,
410,Their Eyes Were Watching God,en-US,,
411,Reading Like a Writer: A Guide for People Who Love Books and for Those Who Want to Write Them,eng,,
412,The Cat's Pajamas,eng,,
413,Queen of the Scene,en-US,,
414,How to be Idle,en-US,,
415,Time For Kids: Butterflies!,eng,,
416,The Poisonwood Bible,eng,,
417,A Long Shadow (Inspector Ian Rutledge),eng,,"{""tome"":""8""}"
418,A False Mirror (Inspector Ian Rutledge),eng,,"{""tome"":""9""}"
419,sex.lies.murder.fame.,eng,,
