edition_id,editeur_id,isbn13,publication_date,num_pages,num_catalogue,langue_code,titre,infos
7289,325,9780767904414,1999-09-01,372,,eng,Northern Lights,
7290,327,9780767904421,1999-09-01,351,,eng,Going After Cacciato,
7291,325,9780767904438,1999-09-01,225,,eng,If I Die in a Combat Zone  Box Me Up and Ship Me Home,
7292,325,9780767904612,2002-02-12,240,,eng,Going on Being: Buddhism and the Way of Change,
7293,1974,9780767905107,2002-10-08,432,,eng,Q: The Autobiography of Quincy Jones,
7294,325,9780767905206,2002-06-11,368,,eng,Mr. Maybe,
7295,325,9780767906289,2007-12-18,320,,en-US,The Hunt for Zero Point: Inside the Classified World of Antigravity Technology,
7296,325,9780767906722,2005-10-11,757,,eng,The Best Recipes in the World: More Than 1 000 International Dishes to Cook at Home,
7297,325,9780767906890,2003-09-09,288,,eng,For the Sins of My Father: A Mafia Killer  His Son  and the Legacy of a Mob Life,
7298,1974,9780767907439,2003-08-12,336,,en-US,Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,
7299,325,9780767907804,2002-06-11,358,,eng,Bookends,
7300,325,9780767907811,2003-05-27,368,,eng,Bookends,
7301,325,9780767908184,2004-09-14,544,,eng,A Short History of Nearly Everything,
7302,863,9780767908207,2001-10-09,224,,eng,Inconceivable: A Woman's Triumph Over Despair and Statistics,
7303,325,9780767909266,2002-09-10,240,,eng,The Minimalist Cooks at Home: Recipes That Give You More Flavor from Fewer Ingredients in Less Time,
7304,325,9780767910439,2004-09-14,256,,eng,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,
7305,325,9780767911795,2005-12-27,784,,eng,Conspiracy of Fools,
7306,325,9780767912235,2003-05-27,438,,en-US,Babyville,
7307,325,9780767912242,2004-03-23,464,,en-US,Babyville,
7308,325,9780767912273,2005-03-01,352,,eng,To Have and to Hold,
7309,411,9780767914222,2003-04-08,288,,en-GB,La Cucina Di Lidia: Recipes and Memories from Italy's Adriatic Coast,
7310,325,9780767915069,2002-12-03,55,,eng,Bill Bryson's African Diary,
7311,325,9780767915304,2004-06-08,272,,eng,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,
7312,325,9780767915694,2004-05-11,384,,eng,The Full Matilda,
7313,325,9780767915748,2004-04-13,304,,eng,Holy Cow: An Indian Adventure,
7314,88,9780767916035,2006-09-12,222,,eng,Don't Get Too Comfortable: The Indignities of Coach Class  The Torments of Low Thread Count  The Never-Ending Quest for Artisanal Olive Oil  and Other First World Problems,
7315,325,9780767916226,2003-10-28,144,,eng,A Christmas Story,
7316,325,9780767916912,2006-05-09,368,,en-US,Love @ First Site,
7317,325,9780767919371,2007-09-25,268,,en-US,The Life and Times of the Thunderbolt Kid: A Memoir,
7318,1293,9780767920094,2006-08-01,304,,eng,The Female Brain,
7319,1973,9780767920742,2006-02-14,192,,eng,The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,
7320,1974,9780767921695,2005-12-27,228,,en-US,The Art of Civilized Conversation: A Guide to Expressing Yourself with Style and Grace,
7321,863,9780767921961,2006-09-05,276,,eng,It's Called a Breakup Because It's Broken: The Smart Girl's Break-Up Buddy,
7322,1973,9780767922081,2006-07-11,320,,eng,Life on Planet Rock: From Guns N' Roses to NIRVana  a Backstage Journey Through Rock's Most Debauched Decade,
7323,88,9780767923064,2007-01-09,351,,eng,Leonardo's Swans,
7324,325,9780767923224,2005-11-01,624,,eng,A Short History of Nearly Everything,
7325,325,9780767926034,2006-03-28,467,,eng,The Da Vinci Code,
7326,539,9780768423488,2006-04-01,256,,eng,Experiencing Father's Embrace,
7327,1781,9780770422455,1989-08-01,288,,eng,A Tangled Web,
7328,1781,9780770422479,1988-06-01,288,,eng,Pat of Silver Bush (Pat),
7329,1780,9780770429454,2005-10-04,368,,eng,Lord John and the Private Matter (Lord John Grey),
7330,1781,9780770429911,2006-03-28,688,,eng,A Certain Justice (Adam Dalgliesh),
7331,1227,9780771008740,2006-09-19,368,,eng,The Handmaid's Tale,
7332,1227,9780771014178,2002-05-10,128,,eng,The Jane Austen Cookbook,
7333,1228,9780771065262,2008-11-19,368,,eng,The View From Castle Rock,
7334,630,9780773491670,1992-01-01,140,,eng,Critique of Pure Reason (Studies in the History of Philosophy),
7335,1270,9780778300854,2005-04-15,400,,eng,Monkey Business,
7336,1270,9780778320265,2004-02-23,240,,eng,Above and Beyond,
7337,1270,9780778320890,2004-09-24,575,,eng,The Prize (deWarenne Dynasty),
7338,1270,9780778321583,2005-02-22,240,,eng,Led Astray (Hellraisers),
7339,1270,9780778321712,2005-04-26,377,,eng,Black Ice (Ice),
7340,1270,9780778322276,2006-01-28,360,,eng,Dinner with Anna Karenina,
7341,1268,9780778322733,2006-01-24,363,,eng,The Devil's Waltz,
7342,1270,9780778322849,2006-02-28,280,,eng,A Secret Splendor,
7343,1270,9780778322948,2006-04-25,491,,eng,The Beach House (Beach House),
7344,1270,9780778322993,2006-05-30,568,,eng,Thriller: Stories To Keep You Up All Night,
7345,1270,9780778323563,2006-10-24,360,,eng,Cold As Ice (Ice),
7346,1270,9780778324317,2007-02-27,282,,eng,Two Alone,
7347,1270,9780778324782,2007-03-27,378,,eng,Ice Blue (Ice),
7348,1705,9780778801467,2006-09-14,606,,eng,The Spice and Herb Bible,
7349,1194,9780781723053,1999-12-21,400,,eng,Study Guide to Accompany Brunner and Suddarth's Textbook of Medical-Surgical Nursing,
7350,1194,9780781731836,2002-12-16,1500,,eng,Kaplan & Sadock's Synopsis of Psychiatry: Behavioral Sciences/Clinical Psychiatry,
7351,1978,9780783502007,1999-05-24,108,,eng,Pies and Tarts,
7352,1982,9780783502502,1999-05-24,108,,eng,Soups,
7353,1978,9780783548814,1999-05-24,64,,eng,Insects & Spiders,
7354,1978,9780783554518,1999-05-24,168,,eng,What Life Was Like In the Age of Chivalry: Medieval Europe  AD 800-1500 (What Life Was Like),
7355,1978,9780783554525,1999-05-24,192,,eng,What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200 (What Life Was Like),
7356,1978,9780783554556,1999-05-24,144,,eng,What Life Was Like Among Druids and High Kings: Celtic Ireland  AD 400-1200 (What Life Was Like),
7357,1978,9780783554563,1999-05-24,144,,eng,What Life Was Like in the Realm of Elizabeth: England  AD 1533-1603 (What Life Was Like),
7358,1978,9780783554570,1999-05-24,144,,eng,What Life Was Like Amid Splendor and Intrigue: Byzantine Empire  AD 330-1453,
7359,1978,9780783554594,1999-09-01,144,,eng,What Life Was Like in the Time of War and Peace: Imperial Russia  AD 1696-1917 (What Life Was Like),
7360,1978,9780783554617,1999-09-01,168,,eng,What Life Was Like at the Rebirth of Genius: Renaissance Italy  AD 1400-1550 (What Life Was Like),
7361,1222,9780785100492,2007-01-10,216,,eng,Marvels,
7362,1221,9780785108115,2006-09-27,144,,eng,New X-Men  Volume 1: E Is for Extinction,
7363,1221,9780785110590,2003-01-01,128,,eng,X-Statix  Volume 1: Good Omens,
7364,1221,9780785110675,2006-11-15,120,,eng,New X-Men  Volume 4: Riot at Xavier's,
7365,1223,9780785113447,2004-04-01,144,,eng,The Punisher  Vol. 6: Confederacy of Dunces,
7366,1221,9780785113454,2006-11-15,112,,eng,New X-Men  Volume 7: Here Comes Tomorrow,
7367,1221,9780785113799,2006-12-06,144,,eng,Runaways  Vol. 1: Pride and Joy,
7368,1223,9780785113881,2004-01-01,398,,eng,Marvels,
7369,1221,9780785114932,2005-05-11,144,,eng,Black Widow: Homecoming,
7370,1221,9780785115311,2006-05-10,152,,eng,Astonishing X-Men  Volume 1: Gifted,
7371,1223,9780785115366,2005-01-01,136,,eng,Fantastic Four  Vol 5: Disassembled,
7372,1222,9780785116349,2004-10-20,496,,eng,Essential Monster of Frankenstein  Vol. 1,
7373,1221,9780785116776,2007-06-27,152,,eng,Astonishing X-Men  Volume 2: Dangerous,
7374,1221,9780785117599,2007-02-14,152,,eng,Astonishing X-Men  Volume 3: Torn,
7375,1221,9780785117681,2006-06-07,144,,eng,Black Widow: The Things They Say About Her,
7376,1223,9780785117759,2005-03-16,264,,eng,Fantastic Four  Volume 2,
7377,1221,9780785118954,2006-07-19,120,,eng,Supreme Power: Hyperion,
7378,1221,9780785119272,2006-09-13,184,,eng,Ultimate Spider-Man  Volume 16: Deadpool,
7379,1223,9780785120117,2005-11-23,256,,eng,Fantastic Four  Volume 3,
7380,1221,9780785120193,2006-10-04,144,,eng,Ultimate X-Men  Vol. 14: Phoenix?,
7381,1221,9780785121480,2006-10-04,344,,eng,Ultimate Spider-Man  Volume 7,
7382,1221,9780785121947,2006-05-03,240,,eng,The New Mutants Classic  Vol. 1,
7383,1221,9780785122586,2007-02-14,160,,eng,Iron Man: Extremis,
7384,1223,9780785122784,2006-09-13,144,,eng,NextWave: Agents of H.A.T.E.  Vol. 1: This is What They Want,
7385,1221,9780785123118,2006-08-02,248,,eng,Marvel 1602,
7386,1221,9780785123262,2006-12-06,1096,,eng,New X-Men: Omnibus,
7387,1221,9780785123712,2007-02-07,160,,eng,Ultimate Annuals  Volume 2,
7388,1221,9780785124979,2007-03-21,176,,eng,Spider-Man: Saga of the Sandman,
7389,1223,9780785127222,2007-05-30,168,,eng,Magician: Apprentice Volume 1  (Raymond E. Feist's Magician: Apprentice),
7390,1221,9780785127239,2007-07-18,168,,eng,Laurell K. Hamilton's Anita Blake  Vampire Hunter: Guilty Pleasures vol 1,
7391,1967,9780785209829,2005-08-14,256,,eng,Through Painted Deserts: Light  God  and Beauty on the Open Road,
7392,1323,9780785218364,2006-09-12,221,,eng,Inside My Heart: Choosing to Live with Passion and Purpose,
7393,1967,9780785260059,2004-11-01,256,,en-US,The Power of One: One Person  One Rule  One Month,
7394,887,9780785260905,2005-09-10,256,,eng,Winning with People Workbook,
7395,887,9780785260943,2005-06-05,208,,eng,25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,
7396,1967,9780785263708,2003-07-15,243,,eng,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,
7397,1967,9780785263715,2004-10-11,246,,eng,Searching for God Knows What,
7398,1967,9780785263784,1997-01-14,271,,eng,Only the River Runs Free (The Galway Chronicles),
7399,1323,9780785264699,2005-04-05,243,,en-US,Captivating: Unveiling the Mystery of a Woman's Soul,
7400,1967,9780785265436,2001-12-16,224,,eng,The Blood of the Moon: Understanding the Historic Struggle Between Islam and Western Civilization,
7401,1967,9780785268833,2001-04-01,256,,eng,Wild at Heart: Discovering the Secret of a Man's Soul,
7402,1968,9780785282099,1994-12-31,239,,eng,The Guardian,
7403,2024,9780785731238,1994-06-01,248,,spa,Como agua para chocolate,
7404,2024,9780785735489,1994-04-01,297,,eng,A Break With Charity: A Story of the Salem Witch Trials,
7405,2024,9780785759379,1994-01-01,119,,eng,The Mystery of the Missing Cat,
7406,307,9780785812142,2000-04-01,390,,eng,The Complete Dream Dictionary,
7407,360,9780785814535,2009-11-29,864,,eng,Complete Tales and Poems,
